chrom	start	stop	name2	score	strand
chr15	3270766	3280508	Sepp1	.	1
chr15	3270920	3280507	Sepp1	.	1
chr15	3280626	3303526	Ccdc152	.	-1
chr15	3317759	3583230	Ghr	.	-1
chr15	3319008	3581842	Ghr	.	-1
chr15	3327524	3583188	Ghr	.	-1
chr15	3327538	3471644	Ghr	.	-1
chr15	3603271	3603397	Gm22031	.	-1
chr15	3798911	3799181	Gm23228	.	1
chr15	3965444	3979573	Fbxo4	.	-1
chr15	3982035	3995752	AW549877	.	-1
chr15	3996038	4015858	Gm2093	.	1
chr15	4021685	4027393	BC037032	.	-1
chr15	4022370	4027402	BC037032	.	-1
chr15	4026382	4155344	Oxct1	.	1
chr15	4026396	4027152	BC037032	.	-1
chr15	4026683	4153963	Oxct1	.	1
chr15	4069225	4072032	Gm15632	.	-1
chr15	4375503	4575553	Plcxd3	.	1
chr15	4727174	4804045	C6	.	1
chr15	4727215	4803642	C6	.	1
chr15	4727283	4815456	C6	.	1
chr15	4898736	4962203	Mroh2b	.	1
chr15	4988761	5063773	C7	.	-1
chr15	5035359	5035462	Gm25652	.	1
chr15	5095980	5108539	Card6	.	-1
chr15	5116612	5119140	Rpl37	.	1
chr15	5118403	5118484	Snord72	.	1
chr15	5120601	5121172	Gm10250	.	-1
chr15	5143860	5181899	Prkaa1	.	1
chr15	5175084	5185723	Gm15938	.	-1
chr15	5185524	5218336	Ttc33	.	1
chr15	5185559	5218336	Ttc33	.	1
chr15	5185726	5218336	Ttc33	.	1
chr15	5233398	5244172	Ptger4	.	-1
chr15	5233398	5244187	Ptger4	.	-1
chr15	5496265	5594984	RP24-502J3.1	.	1
chr15	5864305	5864419	Gm27760	.	1
chr15	6151216	6151348	Gm23139	.	-1
chr15	6303243	6309913	Gm16311	.	-1
chr15	6386747	6440705	Dab2	.	1
chr15	6445326	6498751	C9	.	1
chr15	6500696	6500972	Gm23218	.	1
chr15	6579870	6663304	Fyb	.	1
chr15	6604340	6654303	Gm2245	.	-1
chr15	6708380	6800398	Rictor	.	1
chr15	6813576	6874969	Osmr	.	-1
chr15	6815036	6874969	Osmr	.	-1
chr15	6996036	7002508	Gm38282	.	1
chr15	7129558	7191743	Lifr	.	1
chr15	7129571	7185335	Lifr	.	1
chr15	7154352	7197489	Lifr	.	1
chr15	7206119	7398304	Egflam	.	-1
chr15	7206577	7398351	Egflam	.	-1
chr15	7397896	7411381	Gm16029	.	1
chr15	7669964	7670340	Gm37743	.	-1
chr15	7811010	7837575	Gdnf	.	1
chr15	7873054	8099209	Wdr70	.	-1
chr15	7975327	7975407	Gm27529	.	1
chr15	8109312	8159857	Nup155	.	1
chr15	8169105	8271158	2410089E03Rik	.	1
chr15	8220003	8220114	Gm24144	.	1
chr15	8291224	8444463	Nipbl	.	-1
chr15	8518682	8519953	Gm2310	.	-1
chr15	8634123	8710764	Slc1a3	.	-1
chr15	8652105	8655073	Gm37310	.	-1
chr15	8686015	8710409	Slc1a3	.	-1
chr15	8968425	9066551	Ranbp3l	.	1
chr15	8968425	9002646	Ranbp3l	.	1
chr15	9071259	9110487	Nadk2	.	1
