chrom	start	stop	name2	score	strand
chr4	3051713	3051819	Gm27878	.	-1
chr4	3172082	3173006	Vmn1r2	.	1
chr4	3184381	3185305	Vmn1r3	.	-1
chr4	3246004	3258092	AI838599	.	1
chr4	3537089	3537191	Mir3471-2	.	1
chr4	3549040	3574853	Tmem68	.	-1
chr4	3574874	3616619	Tgs1	.	1
chr4	3619188	3619315	Gm22541	.	1
chr4	3656507	3663108	2210414B05Rik	.	1
chr4	3678114	3791613	Lyn	.	1
chr4	3678116	3689548	Gm26857	.	-1
chr4	3678126	3791612	Lyn	.	1
chr4	3796446	3796583	Gm22781	.	-1
chr4	3831333	3835665	Rps20	.	-1
chr4	3835078	3835146	Gm24016	.	-1
chr4	3857476	3857613	Gm24125	.	-1
chr4	3870656	3872105	Mos	.	-1
chr4	3900995	3938382	Plag1	.	-1
chr4	3938887	3943523	Chchd7	.	1
chr4	3938887	3943528	Chchd7	.	1
chr4	3938913	3943050	Chchd7	.	1
chr4	3938913	3943521	Chchd7	.	1
chr4	3938913	3943528	Chchd7	.	1
chr4	3938913	3943528	Chchd7	.	1
chr4	3938919	3943504	Chchd7	.	1
chr4	3940853	3943525	Chchd7	.	1
chr4	3973091	3973595	Gm11808	.	-1
chr4	3995935	4019663	Sdr16c5	.	-1
chr4	4055928	4076931	Sdr16c6	.	-1
chr4	4055930	4077522	Sdr16c6	.	-1
chr4	4133530	4138477	Penk	.	-1
chr4	4138320	4188703	A830012C17Rik	.	1
chr4	4729572	4729704	Gm26436	.	1
chr4	4762483	4793355	Impad1	.	-1
chr4	5545237	5551223	Gm11782	.	-1
chr4	5632327	5642284	4930423M02Rik	.	1
chr4	5644120	5801101	Fam110b	.	1
chr4	5687676	5687802	Gm24337	.	-1
chr4	5724311	5801101	Fam110b	.	1
chr4	5772878	5799946	Fam110b	.	1
chr4	6191097	6221688	Ubxn2b	.	1
chr4	6265611	6275631	Cyp7a1	.	-1
chr4	6352104	6357530	4930430E12Rik	.	-1
chr4	6365649	6396284	Sdcbp	.	1
chr4	6365676	6395655	Sdcbp	.	1
chr4	6365712	6408423	Sdcbp	.	1
chr4	6378017	6378292	Gm37689	.	1
chr4	6396206	6454271	Nsmaf	.	-1
chr4	6634163	6634295	Gm22473	.	-1
chr4	6686352	6990799	Tox	.	-1
chr4	6688168	6704160	Gm11802	.	1
chr4	7560687	7573801	8430436N08Rik	.	1
chr4	7759669	7763930	Gm11795	.	1
chr4	7820915	7821047	Gm23860	.	1
chr4	8143361	8239041	Car8	.	-1
chr4	8235581	8235682	Gm25355	.	1
chr4	8438521	8454247	Gm37386	.	-1
chr4	8535643	8607778	Rab2a	.	1
chr4	8690920	8866810	Chd7	.	1
chr4	8691364	8867659	Chd7	.	1
chr4	8751437	8867224	Chd7	.	1
chr4	9210002	9210108	Gm23423	.	1
chr4	9267322	9269915	Gm26548	.	-1
chr4	9269316	9451691	Clvs1	.	1
chr4	9271454	9451691	Clvs1	.	1
chr4	9283971	9287391	Gm11816	.	-1
chr4	9285826	9287333	Gm11816	.	-1
chr4	9431960	9447199	Gm11817	.	-1
chr4	9449078	9669162	Asph	.	-1
chr4	9449078	9669162	Asph	.	-1
chr4	9449078	9669344	Asph	.	-1
chr4	9575266	9643717	Asph	.	-1
chr4	9575266	9643717	Asph	.	-1
chr4	9575266	9643717	Asph	.	-1
chr4	9575266	9669162	Asph	.	-1
chr4	9575266	9669162	Asph	.	-1
chr4	9620908	9643717	Asph	.	-1
chr4	9621695	9669162	Asph	.	-1
chr4	9629022	9669162	Asph	.	-1
chr4	9630546	9669162	Asph	.	-1
chr4	9669278	9669350	Gm25677	.	1
chr4	9695644	9695807	Gm24152	.	-1
chr4	9770584	9823411	4930412C18Rik	.	1
